rosca_id,outcome_amtinvest_healthproducts,outcome_illness_untreated_3mo,treat_safe_box,treat_locked_box,treat_health_pot,treat_health_savings,any_treatment,covariate_rosbg_monthly_contrib,covariate_female,covariate_b1_age,covariate_provider,covariate_hyperbolic,covariate_pat_now_impat_later,covariate_max_discount,covariate_n_roscas,control_group,maxn
1316,1000,0,1,0,0,0,1,400,1,26,0,0,1,0,1,0,4
1316,600,1,1,0,0,0,1,400,1,27,1,0,0,1,1,0,4
1324,40,0,0,1,0,0,1,250,1,21,0,0,0,0,1,0,1
1335,190,0,0,1,0,0,1,400,0,27,0,1,0,0,2,0,5
1335,1400,0,0,1,0,0,1,400,0,22,1,0,0,1,1,0,5
1335,0,0,0,1,0,0,1,400,1,40,0,0,0,0,2,0,5
1339,300,0,0,1,0,0,1,160,1,45,0,0,0,1,1,0,10
1339,0,0,0,1,0,0,1,160,0,55,0,0,0,0,1,0,10
1339,710,1,0,1,0,0,1,160,0,39,0,0,0,0,2,0,10
1339,60,0,0,1,0,0,1,160,1,53,0,0,0,0,2,0,10
1339,81,0,0,1,0,0,1,160,0,43,0,0,0,0,1,0,10
1339,60,0,0,1,0,0,1,160,1,34,0,0,0,0,2,0,10
1339,105,0,0,1,0,0,1,160,0,52,0,0,0,0,1,0,10
1339,80,0,0,1,0,0,1,160,0,35,1,0,0,1,1,0,10
1339,0,0,0,1,0,0,1,160,0,35,0,0,0,0,1,0,10
1339,35,0,0,1,0,0,1,160,0,40,0,0,1,0,1,0,10
1342,101,0,0,0,0,1,1,1000,1,28,0,1,0,0,1,0,7
1342,60,0,0,0,0,1,1,1000,1,18,0,0,0,1,2,0,7
1342,590,0,0,0,0,1,1,1000,1,32,0,0,0,0,1,0,7
1342,330,0,0,0,0,1,1,1000,1,25,1,0,0,1,1,0,7
1342,100,0,0,0,0,1,1,1000,1,25,0,0,0,1,1,0,7
1342,560,0,0,0,0,1,1,1000,1,30,1,0,0,1,1,0,7
1342,80,0,0,0,0,1,1,1000,1,20,0,0,0,1,1,0,7
